route_long_name,route_type,route_text_color,agency_id,route_id,route_color,route_short_name
Henderson To Avondale College,3,,RTH,05357-20160729161628_v43.23,,053
Devonport Wharf To Cheltenham And Return,3,,RTH,77901-20160729161628_v43.23,,779
Manukau City Centre To Britomart,3,,NZBWP,48701-20160729161628_v43.23,,487
Verrans Corner To Glenfield Schools,3,,BTL,07751-20160803113210_v43.25,,077
Westgate To Hobsonville,3,,RTH,09206-20160803113210_v43.25,,092
Sturges Road To City Centre Via Sunnyvale,3,,NZBGW,07901-20160729161628_v43.23,,079
Mayoral Dr To Long Bay Via North Shore Hospital,3,,NZBNS,85804-20160729161628_v43.23,,858
Westlake Girls To Glenfield Mall,3,,BTL,01558-20160803113210_v43.25,,015
Papakura Train Station to Britomart Train Station,2,,AM,20171-20160729161628_v43.23,,STH
Mayoral Dr To Hillcrest,3,,RTH,92102-20160729161628_v43.23,,921
Onehunga Train Station to Britomart Train Station,2,,AM,40015-20160803113210_v43.25,,ONE
Orewa To Rangitoto College,3,,BAYES,02553-20160729161628_v43.23,,025
Glenfield Intermediate To Beach Haven,3,,BTL,07758-20160803113210_v43.25,,077
Botany Town Centre To Half Moon Bay Via Gossamer Dr,3,,HE,56502-20160803113210_v43.25,,565
Sacred Heart College To Bucklands Beach,3,,HE,02158-20160803113210_v43.25,,021
Orewa To Rangitoto College,3,,BAYES,02553-20160803113210_v43.25,,025
Birkdale Intermediate To Beach Haven,3,,BTL,02356-20160803113210_v43.25,,023
Mangere Town Centre To Onehunga Schools,3,,NZBML,06159-20160803113210_v43.25,,061
One Tree Hill College To Otahuhu Transport Centre,3,,NZBML,06752-20160729161628_v43.23,,067
Baradene College To St Heliers,3,,NZBML,02152-20160729161628_v43.23,,021
Westlake Girls To Glenfield Mall,3,,BTL,01558-20160729161628_v43.23,,015
Te Huruhi School to Rocky Bay,3,,WBC,08956-20160729161628_v43.23,,089
Takapuna To New Lynn,3,,RTH,13001-20160803113210_v43.25,,130
Civic Centre To Takapuna And East Coast Bays (S),3,,NZBNS,52805-20160729161628_v43.23,,N83
Rangitoto College To Takapuna,3,,NZBNS,06654-20160729161628_v43.23,,066
Outer Link Newmarket To CBD Anticlockwise,3,,NZBML,72103-20160803113210_v43.25,,OUT
City Centre To Sturges Rd Express,3,,NZBGW,09012-20160803113210_v43.25,,09X
Manurewa Intermediate To Clendon,3,,NZBWP,45404-20160803113210_v43.25,,454
New Lynn To City Centre V GreenBay And Blockhouse Bay Rd (U),3,,UE,19501-20160803113210_v43.25,,195
Browns Bay To Mayoral Dr Express,3,,NZBNS,86003-20160803113210_v43.25,,86X
Arkles Bay/Manly To Orewa College,3,,BAYES,00551-20160803113210_v43.25,,005
Manurewa To Manukau City Centre Via The Gardens,3,,HE,46601-20160729161628_v43.23,,466
Epsom Schools To St Heliers Via Glendowie,3,,NZBML,00352-20160729161628_v43.23,,003
Beach Haven Wharf To Takapuna Via Birkdale Rd,3,,BTL,97505-20160803113210_v43.25,,975
Papakura Train Station to Pukekohe Train Station,2,,AM,30116-20160803113210_v43.25,,PUK
Britomart To Waikowhai,3,,NZBML,27702-20160803113210_v43.25,,277
Westlake Schools To Albany Via Albany Hwy,3,,NZBNS,02058-20160803113210_v43.25,,020
Glenfield To Westlake Schools,3,,NZBNS,00951-20160729161628_v43.23,,009
Glenfield To Takapuna Via Marlborough,3,,RTH,94502-20160729161628_v43.23,,945
Pt Chevalier To Glen Innes Via Selwyn Village,3,,NZBML,00712-20160803113210_v43.25,,007
Takapuna To Bayswater,3,,RTH,80306-20160803113210_v43.25,,803
Gulf Harbour to City Centre (Wellesley St) via HC Station,3,,NZBNS,99201-20160729161628_v43.23,,992X
Westlake Boys To Northcross,3,,NZBNS,03354-20160803113210_v43.25,,033
City Centre To Westgate,3,,RTH,08004-20160803113210_v43.25,,080
Constellation Station To Epsom And Remuera Schools,3,,NZBML,06456-20160803113210_v43.25,,064
Beach Haven To Hobsonville,4,,360D,96015-20160803113210_v43.25,,HOBS
Smales Rd To Somerville Intermediate And Howick College,3,,HE,31551-20160729161628_v43.23,,315
Mayoral Dr To Torbay Express Via Forrest Hill,3,,NZBNS,87704-20160803113210_v43.25,,877X
Browns Bay To Mayoral Dr Via Crown Hill,3,,NZBNS,83401-20160803113210_v43.25,,834
Northcote Intermediate And St Marys Primary To Hillcrest,3,,BTL,03256-20160803113210_v43.25,,032
Waikowhai Intermediate to Lynfield,3,,NZBML,02262-20160729161628_v43.23,,022
Henderson Hopper Via McLaren Park And Sturges Rd,3,,NZBGW,14501-20160803113210_v43.25,,145
Midtown To New Lynn Via Sandringham Road,3,,NZBML,24302-20160729161628_v43.23,,243
